2016-04-14T11:50:26.024+0100 I CONTROL  [initandlisten] MongoDB starting : pid=9138 port=27017 dbpath=/data/db 64-bit host=MacBook-Air.local
2016-04-14T11:50:26.026+0100 I CONTROL  [initandlisten] db version v3.2.1
2016-04-14T11:50:26.026+0100 I CONTROL  [initandlisten] git version: a14d55980c2cdc565d4704a7e3ad37e4e535c1b2
2016-04-14T11:50:26.026+0100 I CONTROL  [initandlisten] allocator: system
2016-04-14T11:50:26.027+0100 I CONTROL  [initandlisten] modules: none
2016-04-14T11:50:26.027+0100 I CONTROL  [initandlisten] build environment:
2016-04-14T11:50:26.027+0100 I CONTROL  [initandlisten]     distarch: x86_64
2016-04-14T11:50:26.027+0100 I CONTROL  [initandlisten]     target_arch: x86_64
2016-04-14T11:50:26.027+0100 I CONTROL  [initandlisten] options: {}
2016-04-14T11:50:26.028+0100 I -        [initandlisten] Detected data files in /data/db created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
2016-04-14T11:50:26.028+0100 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=4G,session_max=20000,eviction=(threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),checkpoint=(wait=60,log_size=2GB),statistics_log=(wait=0),
2016-04-14T11:50:26.818+0100 I CONTROL  [initandlisten] 
2016-04-14T11:50:26.818+0100 I CONTROL  [initandlisten] ** WARNING: soft rlimits too low. Number of files is 256, should be at least 1000
2016-04-14T11:50:26.829+0100 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
2016-04-14T11:50:26.829+0100 I NETWORK  [HostnameCanonicalizationWorker] Starting hostname canonicalization worker
2016-04-14T11:50:26.830+0100 I NETWORK  [initandlisten] waiting for connections on port 27017
2016-04-14T11:50:27.728+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:57917 #1 (1 connection now open)
2016-04-14T11:50:27.728+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:57918 #2 (2 connections now open)
2016-04-14T11:50:27.728+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:57919 #3 (3 connections now open)
2016-04-14T11:50:27.728+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:57920 #4 (4 connections now open)
2016-04-14T11:50:27.728+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:57921 #5 (5 connections now open)
2016-04-14T12:05:31.740+0100 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (10.0.1.193, "nodename nor servname provided, or not known"), (10.0.1.193, "nodename nor servname provided, or not known") ]
2016-04-14T12:35:26.796+0100 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (10.0.1.193, "nodename nor servname provided, or not known"), (10.0.1.193, "nodename nor servname provided, or not known") ]
